Formula,RT (min),[M] ES-,m/z ES-,[M] ES+,m/z ES+,Label incorporation from D2-tyrosine             (0: compound not detected in labeling study),N2_OP50,N2_JUb39,N2_JUbdKO,tdc-1_OP50,tdc-1_JUb39,tdc-1_JUbdKO,N2_OP50,N2_JUb39,N2_JUbdKO,tdc-1_OP50,tdc-1_JUb39,tdc-1_JUbdKO,N2_OP50,N2_JUb39,N2_JUbdKO,tdc-1_OP50,tdc-1_JUb39,tdc-1_JUbdKO,Notes
C20H25N2O10P,5.35,M-H,483.1181,M+H,485.13196,yes,115340.28,248648.13,130849.41,0,174643.19,0,0,183712.19,121796.05,0,269507.80,0,17744.25,317217.40,69815.53,0,135681.92,0,0: not detected
C21H27N2O10P,5.4,M-H,497.13306,M+H,499.14761,yes,30945722,35402968,24310999,446839,14623282,165239,29402379,39736784,33032908,340638,20216980,165971,20603290,47403940,14355512,301042,9590216,137595,
C12H15NO4,5.75,M-H,236.09283,M+H,238.10692,yes,6196394.66,2993908.35,3294931.83,0,398213.72,0,5233188.89,3389552.11,3546305.50,0,570300.95,0,2859335.18,3763926.48,1333945.73,0,280050.46,0,N-succinyl tyramine
C21H26NO10P,5.85,M-H,482.12216,M+H,484.1367,0,56844.42,2003028.87,1106596.21,0,1580938.55,0,33140.70,2178536.05,1265765.32,0,1841926.48,0,24746.97,1877214.42,676573.43,0,1017297.86,0,
C22H28NO10P,6.05,M-H,496.1387,M+H,498.15234,0,17259.66,2153558.29,772977.25,0,3403917.89,0,0,2596511.82,912140.14,0,4551689.68,8604.42,0,3076995.57,373514.63,0,2338569.57,8059.28,
C21H26N2O7,6.23,M+Cl,453.1444,M+H,419.18095,0,838789.19,1095074.09,726007.92,18172.01,913597.99,8110.08,1413600.65,2070707.64,1354462.50,16920.39,1458987.97,9398.77,862233.90,2023525.49,536497.58,10491.86,743897.68,0,
C27H30N3O11P,6.64,M-H,602.1559,M+H,604.16892,yes,3271544,1591984,834922,0,856450,0,1010972,946351,746725,21722,1308998,0,987237,1859708,416361,0,584892,0,
C28H31N2O12P,7.08,M-H,617.1555,M+H,619.16825,yes,1005865.20,697634.08,540063.19,21794.88,339708.35,0,339260.34,365636.23,506541.82,9732.46,407160.43,0,374803.33,681786.96,284933.63,10664.93,242433.65,0,
C25H32N2O11PS,7.37,M-H,597.1328,M+H,599.14637,yes,123452.52,883019.58,420758.31,0,115185.85,0,24576.41,460112.50,357532.70,0,202387.28,0,17108.76,793310.87,179372.99,0,93241.87,0,
C26H33N2O11P,7.53,M-H,579.1761,M+H,581.18963,yes,6605422.84,2962790.35,1252916.74,50223.21,801757.61,21235.55,3153088.56,1497573.87,1140446.07,33798.45,1281164.86,12198.42,2961144.24,2720414.80,590948.45,41311.36,538477.94,10019.11,
C28H32N3O11P,7.55,M-H,616.17017,M+H,618.18411,yes,5141791.90,735626.97,286586.51,48884.68,126519.97,0,2226978.79,351486.95,299296.49,30529.35,236462.72,0,2849166.01,805042.90,140025.58,31868.10,104464.03,0,
C28H31N2O11P,7.8,M-H,601.1606,M+H,603.17435,yes,730483.15,2926623.93,1579488.95,10745.99,1090959.57,14725.97,227835.80,1463229.25,1447470.63,8212.06,1604581.14,12304.17,157205.66,2096110.51,782642.80,0,696674.65,11108.60,
C29H33N2O11P,8,M-H,615.17492,M+H,617.18873,yes,27133.95,848156.27,194287.68,0,422553.79,0,9166.12,390111.03,151873.85,0,729897.02,0,0,641630.44,85854.79,0,293830.61,0,
C26H32N2O8,8.16,M+Cl,535.1864,M+H,501.22346,0,524689.34,178535.08,104216.77,0,89332.21,0,349664.09,155357.38,106332.24,0,132931.69,0,287412.79,235738.09,57241.40,0,56809.04,0,
C28H31N3O8,8.27,M+Cl,572.18176,M+H,538.21908,0,348964.31,63443.35,35468.60,0,17343.61,0,400054.19,85471.09,61186.75,0,32024.31,0,318089.58,110138.94,21077.93,0,17352.49,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
C14H16N2O4,6.75,M-H,275.10407,M+H,277.11785,no,2553311,1644698,2495147,2824523,1305556,1580521,2280708,1930943,3181942,3847777,1249943,2389729,1736594,2142930,2520990,3039868,1124698,1752312,N-succinyl serotonin
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,